"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Propulsio","Nombre"
2025,"01","Ciutat Vella","02","el Barri Gòtic","028","Combustió Interna-Gasoil",176
2025,"01","Ciutat Vella","02","el Barri Gòtic","028","Elèctrica",18
2025,"01","Ciutat Vella","02","el Barri Gòtic","028","Híbrid",27
2025,"01","Ciutat Vella","02","el Barri Gòtic","028","Altres",2
2025,"01","Ciutat Vella","02","el Barri Gòtic","029","Combustió Interna-Gasolina",303
2025,"01","Ciutat Vella","02","el Barri Gòtic","029","Combustió Interna-Gasoil",118
2025,"01","Ciutat Vella","02","el Barri Gòtic","029","Elèctrica",6
2025,"01","Ciutat Vella","02","el Barri Gòtic","029","Híbrid",22
2025,"01","Ciutat Vella","02","el Barri Gòtic","029","Altres",5
2025,"01","Ciutat Vella","02","el Barri Gòtic","029","No consta",1
2025,"01","Ciutat Vella","02","el Barri Gòtic","030","Combustió Interna-Gasolina",671
2025,"01","Ciutat Vella","02","el Barri Gòtic","030","Combustió Interna-Gasoil",247
2025,"01","Ciutat Vella","02","el Barri Gòtic","030","Elèctrica",58
2025,"01","Ciutat Vella","02","el Barri Gòtic","030","Híbrid",47
2025,"01","Ciutat Vella","02","el Barri Gòtic","030","Altres",60
2025,"01","Ciutat Vella","02","el Barri Gòtic","030","No consta",3
2025,"01","Ciutat Vella","02","el Barri Gòtic","031","Combustió Interna-Gasolina",412
2025,"01","Ciutat Vella","02","el Barri Gòtic","031","Combustió Interna-Gasoil",203
2025,"01","Ciutat Vella","02","el Barri Gòtic","031","Elèctrica",20
2025,"01","Ciutat Vella","02","el Barri Gòtic","031","Híbrid",19
2025,"01","Ciutat Vella","02","el Barri Gòtic","031","Altres",7
2025,"01","Ciutat Vella","03","la Barceloneta","032","Combustió Interna-Gasolina",2681
2025,"01","Ciutat Vella","03","la Barceloneta","032","Combustió Interna-Gasoil",272
2025,"01","Ciutat Vella","03","la Barceloneta","032","Elèctrica",2053
2025,"01","Ciutat Vella","03","la Barceloneta","032","Híbrid",133
2025,"01","Ciutat Vella","03","la Barceloneta","032","Altres",11
2025,"01","Ciutat Vella","03","la Barceloneta","033","Combustió Interna-Gasolina",296
2025,"01","Ciutat Vella","03","la Barceloneta","033","Combustió Interna-Gasoil",93
2025,"01","Ciutat Vella","03","la Barceloneta","033","Híbrid",18
2025,"01","Ciutat Vella","03","la Barceloneta","033","Altres",2
2025,"01","Ciutat Vella","03","la Barceloneta","034","Combustió Interna-Gasolina",226
2025,"01","Ciutat Vella","03","la Barceloneta","034","Combustió Interna-Gasoil",89
2025,"01","Ciutat Vella","03","la Barceloneta","034","Elèctrica",1
2025,"01","Ciutat Vella","03","la Barceloneta","034","Híbrid",14
2025,"01","Ciutat Vella","03","la Barceloneta","034","Altres",2
2025,"01","Ciutat Vella","03","la Barceloneta","035","Combustió Interna-Gasolina",303
2025,"01","Ciutat Vella","03","la Barceloneta","035","Combustió Interna-Gasoil",137
2025,"01","Ciutat Vella","03","la Barceloneta","035","Elèctrica",1
2025,"01","Ciutat Vella","03","la Barceloneta","035","Híbrid",22
2025,"01","Ciutat Vella","03","la Barceloneta","035","Altres",6
2025,"01","Ciutat Vella","03","la Barceloneta","036","Combustió Interna-Gasolina",323
2025,"01","Ciutat Vella","03","la Barceloneta","036","Combustió Interna-Gasoil",118
2025,"01","Ciutat Vella","03","la Barceloneta","036","Elèctrica",15
2025,"01","Ciutat Vella","03","la Barceloneta","036","Híbrid",26
2025,"01","Ciutat Vella","03","la Barceloneta","036","Altres",5
2025,"01","Ciutat Vella","03","la Barceloneta","037","Combustió Interna-Gasolina",339
2025,"01","Ciutat Vella","03","la Barceloneta","037","Combustió Interna-Gasoil",127
2025,"01","Ciutat Vella","03","la Barceloneta","037","Elèctrica",3
2025,"01","Ciutat Vella","03","la Barceloneta","037","Híbrid",21
2025,"01","Ciutat Vella","03","la Barceloneta","037","Altres",10
2025,"01","Ciutat Vella","03","la Barceloneta","037","No consta",1
2025,"01","Ciutat Vella","03","la Barceloneta","038","Combustió Interna-Gasolina",313
2025,"01","Ciutat Vella","03","la Barceloneta","038","Combustió Interna-Gasoil",113
2025,"01","Ciutat Vella","03","la Barceloneta","038","Elèctrica",6
2025,"01","Ciutat Vella","03","la Barceloneta","038","Híbrid",26
2025,"01","Ciutat Vella","03","la Barceloneta","038","Altres",13
2025,"01","Ciutat Vella","03","la Barceloneta","039","Combustió Interna-Gasolina",350
2025,"01","Ciutat Vella","03","la Barceloneta","039","Combustió Interna-Gasoil",131
2025,"01","Ciutat Vella","03","la Barceloneta","039","Elèctrica",5
2025,"01","Ciutat Vella","03","la Barceloneta","039","Híbrid",21
2025,"01","Ciutat Vella","03","la Barceloneta","039","Altres",4
2025,"01","Ciutat Vella","03","la Barceloneta","040","Combustió Interna-Gasolina",277
2025,"01","Ciutat Vella","03","la Barceloneta","040","Combustió Interna-Gasoil",103
2025,"01","Ciutat Vella","03","la Barceloneta","040","Elèctrica",2
2025,"01","Ciutat Vella","03","la Barceloneta","040","Híbrid",20
2025,"01","Ciutat Vella","03","la Barceloneta","040","Altres",6
2025,"01","Ciutat Vella","03","la Barceloneta","040","No consta",1
2025,"01","Ciutat Vella","03","la Barceloneta","041","Combustió Interna-Gasolina",383
2025,"01","Ciutat Vella","03","la Barceloneta","041","Combustió Interna-Gasoil",124
2025,"01","Ciutat Vella","03","la Barceloneta","041","Elèctrica",6
2025,"01","Ciutat Vella","03","la Barceloneta","041","Híbrid",20
2025,"01","Ciutat Vella","03","la Barceloneta","041","Altres",12
2025,"01","Ciutat Vella","03","la Barceloneta","041","No consta",1
2025,"01","Ciutat Vella","03","la Barceloneta","042","Combustió Interna-Gasolina",393
2025,"01","Ciutat Vella","03","la Barceloneta","042","Combustió Interna-Gasoil",188
2025,"01","Ciutat Vella","03","la Barceloneta","042","Elèctrica",7
2025,"01","Ciutat Vella","03","la Barceloneta","042","Híbrid",32
2025,"01","Ciutat Vella","03","la Barceloneta","042","Altres",12
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Combustió Interna-Gasolina",2729
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Combustió Interna-Gasoil",192
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Elèctrica",3739
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Híbrid",265
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Altres",18
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Combustió Interna-Gasolina",396
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Combustió Interna-Gasoil",150
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Elèctrica",12
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Híbrid",26
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Altres",3
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Combustió Interna-Gasolina",400
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Combustió Interna-Gasoil",166
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Elèctrica",6
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Híbrid",19
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Altres",7
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Combustió Interna-Gasolina",386
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Combustió Interna-Gasoil",167
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Elèctrica",7
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Híbrid",27
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Altres",5
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","No consta",2
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Combustió Interna-Gasolina",357
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Combustió Interna-Gasoil",123
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Elèctrica",6
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Híbrid",22
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Altres",6
